,question,answer,label,explanation
2307,"Mrs. Carlton gives out penalty points whenever her students misbehave. They get 5 points for interrupting, 10 points for insulting their classmates, and 25 points for throwing things. If they get 100 points, they have to go to the office. Jerry already interrupted twice and insulted his classmates 4 times. How many times can he throw things before he gets sent to the office?","For interrupting, Jerry got 5 points per interruption * 2 interruptions = <<5*2=10>>10 points
For insulting, he got 10 points per insult * 4 insults = <<10*4=40>>40 points
To get to the 100 limit points, Jerry has 100 points - 10 points - 40 points = <<100-10-40=50>>50 points left
He still has 50 points / 25 points per throw = <<50/25=2>>2 throws
#### 2",2,"For interrupting, Jerry got 5 points per interruption * 2 interruptions = <<5*2=10>>10 points
For insulting, he got 10 points per insult * 4 insults = <<10*4=40>>40 points
To get to the 100 limit points, Jerry has 100 points - 10 points - 40 points = <<100-10-40=50>>50 points left
He still has 50 points / 25 points per throw = <<50/25=2>>2 throws
"
2308,Brenda volunteered to make 3 trays of banana pudding for the family reunion.  Each tray of banana pudding would need 80 wafer cookies.  A box of wafer cookies only had 60 cookies per box.  Each box costs $3.50.  How much will it cost her to buy just enough boxes for 3 trays of banana pudding?,"Every tray needs 80 cookies and she's making 3 trays so 8*3 = <<80*3=240>>240
Every box of cookies has 60 cookies. She needs 240 cookies so 240/60 = <<240/60=4>>4 boxes
The boxes cost $3.50 each and she needs 4 boxes so 3.50*4 = $<<3.50*4=14.00>>14.00
#### 14",14,"Every tray needs 80 cookies and she's making 3 trays so 8*3 = <<80*3=240>>240
Every box of cookies has 60 cookies. She needs 240 cookies so 240/60 = <<240/60=4>>4 boxes
The boxes cost $3.50 each and she needs 4 boxes so 3.50*4 = $<<3.50*4=14.00>>14.00
"
2309,"Madeline needs $1200 to pay rent, $400 for groceries, $200 for medical expenses, and $60 for utilities. She also wants to save $200 in case of an emergency. She makes $15 per hour at her job. How many hours will Madeline need to work this month?","Madeline needs 1200+400+200+60+200 = $<<1200+400+200+60+200=2060>>2060 to pay all of her bills.
She will need to work $2060/$15 per hour = 137.33 hours.
She will need to work 138 hours to pay all of her bills
#### 138",138,"Madeline needs 1200+400+200+60+200 = $<<1200+400+200+60+200=2060>>2060 to pay all of her bills.
She will need to work $2060/$15 per hour = 137.33 hours.
She will need to work 138 hours to pay all of her bills
"
2310,"James's favorite basketball player got paid based on how many points he averaged each week. He gets $10,000 if he averages 30 or more points a game and $8,000 if he averages under 30 points a game. For his last week, in the first game he scored 30 points and in the second game he scored 28 points. In the third game he scored 32 points. In the fourth game he scored 34 points and in the fifth game he scored 26 points. How much does he get paid for the week?","His favorite player scored 150 total points that week because 30 plus 28 plus 32 plus 34 plus 26 equals 150
He averaged 30 points a game because 150 divided by 5 equals <<150/5=30>>30.
He gets paid $10,000 because that's how much he gets if he averages 30 or more points that week.
#### 10,000",10000,"His favorite player scored 150 total points that week because 30 plus 28 plus 32 plus 34 plus 26 equals 150
He averaged 30 points a game because 150 divided by 5 equals <<150/5=30>>30.
He gets paid $10,000 because that's how much he gets if he averages 30 or more points that week.
"
2311,"When Matty was born, the cost of a ticket to Mars was $1,000,000. The cost is halved every 10 years. How much will a ticket cost when Matty is 30?","First find the total number of times the cost is halved: 30 years / 10 years/halving = 3 halvings
Then halve the cost once: $1,000,000 / 2 = $<<1000000/2=500000>>500,000
Then halve the cost a second time: $500,000 / 2 = $<<500000/2=250000>>250,000
Then halve the cost a third time: $250,000 / 2 = $<<250000/2=125000>>125,000
#### 125000",125000,"First find the total number of times the cost is halved: 30 years / 10 years/halving = 3 halvings
Then halve the cost once: $1,000,000 / 2 = $<<1000000/2=500000>>500,000
Then halve the cost a second time: $500,000 / 2 = $<<500000/2=250000>>250,000
Then halve the cost a third time: $250,000 / 2 = $<<250000/2=125000>>125,000
"
2312,"If the number of dogs in the neighborhood was originally half the number of cats in the neighborhood before twenty new dogs were born, and now there are twice as many dogs as cats, how many cats were in the neighborhood, to begin with, if there are 20 cats now?","Now there are twice as many dogs as cats, and if the number of cats is 20, there are 2*20=<<2*20=40>>40 dogs.
Before twenty new ones were born, the number of dogs in the neighborhood originally was 40-20=<<40-20=20>>20
If the number of dogs in the neighborhood was originally half the number of cats in the neighborhood, there were 20*2=<<20*2=40>>40 cats in the neighborhood.
#### 40",40,"Now there are twice as many dogs as cats, and if the number of cats is 20, there are 2*20=<<2*20=40>>40 dogs.
Before twenty new ones were born, the number of dogs in the neighborhood originally was 40-20=<<40-20=20>>20
If the number of dogs in the neighborhood was originally half the number of cats in the neighborhood, there were 20*2=<<20*2=40>>40 cats in the neighborhood.
"
2313,"Dave breaks 2 guitar strings per night when playing live.  If he performs 6 shows a week for 12 weeks, how many guitar strings will he need to replace?","He breaks 2 strings a night for 6 nights for a total of 2*6 = <<2*6=12>>12 broken strings
He breaks 12 strings per week so over 12 weeks, he will need to replace 12*12 = <<12*12=144>>144 guitar strings
#### 144",144,"He breaks 2 strings a night for 6 nights for a total of 2*6 = <<2*6=12>>12 broken strings
He breaks 12 strings per week so over 12 weeks, he will need to replace 12*12 = <<12*12=144>>144 guitar strings
"
2314,"An electronic shop offers smartphones for $300 each, personal computers for $500 more than smartphones, and advanced tablets for the sum of the prices of a smartphone and personal computer. How much do you have to pay to buy one of each of the three mentioned products?","The price of a personal computer is $300 + $500 = $<<300+500=800>>800.
The price of an advanced tablet would be $300 + $800 = $<<300+800=1100>>1100.
To buy each of these products, you would have to pay $300 + $800 + $1100 = $<<300+800+1100=2200>>2200.
#### 2200",2200,"The price of a personal computer is $300 + $500 = $<<300+500=800>>800.
The price of an advanced tablet would be $300 + $800 = $<<300+800=1100>>1100.
To buy each of these products, you would have to pay $300 + $800 + $1100 = $<<300+800+1100=2200>>2200.
"
2315,Jim ran 16 miles in 2 hours while Frank ran 20 miles in 2 hours. How many more miles did Frank run than Jim in an hour?,"Jim ran 16 / 2 = <<16/2=8>>8 miles for an hour.
Frank ran 20 / 2 = <<20/2=10>>10 miles for an hour.
Frank ran 10 - 8 = <<10-8=2>>2 more miles than Jim in an hour.
#### 2",2,"Jim ran 16 / 2 = <<16/2=8>>8 miles for an hour.
Frank ran 20 / 2 = <<20/2=10>>10 miles for an hour.
Frank ran 10 - 8 = <<10-8=2>>2 more miles than Jim in an hour.
"
2316,"Ms. Jones got thank you cards from 30% of her class. 1/3 of these contained a gift card for $10. If she got $50 in gift cards, how many students were in her class?","She got 5 gift cards because 50 / 10 = <<50/10=5>>5
She got 15 thank you cards because 5 / (1/3) = <<5/(1/3)=15>>15
She has 50 students because 15 / .3 = <<15/.3=50>>50
#### 50",50,"She got 5 gift cards because 50 / 10 = <<50/10=5>>5
She got 15 thank you cards because 5 / (1/3) = <<5/(1/3)=15>>15
She has 50 students because 15 / .3 = <<15/.3=50>>50
"
2317,"Juniper, the Irish Setter, has 4 bones. Her master gives her enough bones to double her number of bones. Unfortunately, the neighbor's dog steals away two of Juniper's bones.  How many bones does Juniper have remaining?","Doubling 4 bones gives her 4*2=<<4*2=8>>8 bones.
The neighbor's dog steals two bones, leaving 8-2=<<8-2=6>>6 bones.
#### 6",6,"Doubling 4 bones gives her 4*2=<<4*2=8>>8 bones.
The neighbor's dog steals two bones, leaving 8-2=<<8-2=6>>6 bones.
"
2318,"John sends his son to prep school.  It cost $20,000 per semester.  There are 2 semesters in the year.  How much does it cost to send the kid to 13 years of school?","It cost 20000*2=$<<20000*2=40000>>40,000 a year
So it cost 40,000*13=$<<40000*13=520000>>520,000
#### 520,000",520000,"It cost 20000*2=$<<20000*2=40000>>40,000 a year
So it cost 40,000*13=$<<40000*13=520000>>520,000
"
2319,Monica made cookies for herself and her family. Her father ate 10 cookies and her mother ate half as much as the father. Her brother ate 2 more than her mother. How many cookies are left for Monica if she made 30 cookies in total?,"Monica's mother ate half as many cookies as Monica's father, so she ate 10 cookies / 2 = <<10/2=5>>5 cookies.
Monica's brother ate 5 cookies + 2 cookies = <<5+2=7>>7 cookies.
There were 30 cookies - 7 cookies - 5 cookies - 10 cookies = <<30-7-5-10=8>>8 cookies left for Monica.
#### 8",8,"Monica's mother ate half as many cookies as Monica's father, so she ate 10 cookies / 2 = <<10/2=5>>5 cookies.
Monica's brother ate 5 cookies + 2 cookies = <<5+2=7>>7 cookies.
There were 30 cookies - 7 cookies - 5 cookies - 10 cookies = <<30-7-5-10=8>>8 cookies left for Monica.
"
2320,"Matt and Tom both walk up the stairs of the library. Matt goes up the stairs 20 steps per minute. Tom goes up the stairs 5 steps per minute more than Matt. If Matt has reached 220 steps above the entrance, how many steps will Tom have gone up by that time?","Matt would have walked for 220/20=<<220/20=11>>11 minutes.
Tom would have gone up by 11*5=<<11*5=55>>55 steps more.
Tom would have gone up by 220+55=<<220+55=275>>275 steps.
#### 275",275,"Matt would have walked for 220/20=<<220/20=11>>11 minutes.
Tom would have gone up by 11*5=<<11*5=55>>55 steps more.
Tom would have gone up by 220+55=<<220+55=275>>275 steps.
"
2321,"Three schools organized a science fair competition and invited students from all the schools to develop ideas and present them before a panel of judges selected by all the schools competing in the science fair. There were 50 students from Know It All High School at the competition, 3/5 times as many students from Karen High as Know It All High School, and twice the combined number of students from the first two schools that came were from Novel Corona High School. Calculate the total number of students at the competition?","If 50 students came from Know It All High School, then Karen High, which had 3/5 times as many students as Know It All High School, had 3/5*50 = 30 students at the fair.
The total number of students from Know It All and Karen high schools is 50+30 = <<50+30=80>>80 students.
If Novel Corona had twice the combined number of students from Know It All and Karen high schools, then it had 2*80 = <<2*80=160>>160 students at the competition.
The total number of students at the competition is 80+160 = <<80+160=240>>240
#### 240",240,"If 50 students came from Know It All High School, then Karen High, which had 3/5 times as many students as Know It All High School, had 3/5*50 = 30 students at the fair.
The total number of students from Know It All and Karen high schools is 50+30 = <<50+30=80>>80 students.
If Novel Corona had twice the combined number of students from Know It All and Karen high schools, then it had 2*80 = <<2*80=160>>160 students at the competition.
The total number of students at the competition is 80+160 = <<80+160=240>>240
"
2322,"Ben wants to pick 56 sugar snap peas. At his current rate of picking, all will be picked in seven minutes. How long, in minutes, would it take Ben to pick 72 sugar snap peas?","In 1 minute, Ben picks 56/7=<<56/7=8>>8 sugar snap peas.
Ben would take 72/8=<<72/8=9>>9 minutes to pick 72 sugar snap peas.
#### 9",9,"In 1 minute, Ben picks 56/7=<<56/7=8>>8 sugar snap peas.
Ben would take 72/8=<<72/8=9>>9 minutes to pick 72 sugar snap peas.
"
2323,"For every 5 people that attend a poetry class, the teacher gives one of the students a lollipop. If 45 people show up for class, then another 15 come in a while later, how many lollipops did the teacher give away?","The teacher has 45 + 15 = <<45+15=60>>60 people come in total
For every 5 people, a lollipop is given away so there are 60 / 5 = <<60/5=12>>12 groups of 5 people and 12 lollipops given away
#### 12",12,"The teacher has 45 + 15 = <<45+15=60>>60 people come in total
For every 5 people, a lollipop is given away so there are 60 / 5 = <<60/5=12>>12 groups of 5 people and 12 lollipops given away
"
2324,"Harry is traveling home on the bus. He has already been sat on the bus for 15 minutes, and he knows the rest of the journey will take another 25 minutes. The walk from the bus stop to his house will take half the amount of time the bus journey took. In total, how many minutes will Harry have spent traveling?","The bus journey takes 15 + 25 = <<15+25=40>>40 minutes.
The walk from the bus stop to his house will take Harry 40 / 2 = <<40/2=20>>20 minutes.
So he will have been traveling for 40 + 20 = <<40+20=60>>60 minutes.
#### 60",60,"The bus journey takes 15 + 25 = <<15+25=40>>40 minutes.
The walk from the bus stop to his house will take Harry 40 / 2 = <<40/2=20>>20 minutes.
So he will have been traveling for 40 + 20 = <<40+20=60>>60 minutes.
"
2325,"Henry took 9 pills a day for 14 days. Of these 9 pills, 4 pills cost $1.50 each, and the other pills each cost $5.50 more. How much did he spend in total on the pills?","There were 9-4 = <<9-4=5>>5 other pills
Each of the other pills cost 1.50+5.50 = <<1.50+5.50=7>>7 dollars each.
The 5 pills cost a total of 7*5 = <<7*5=35>>35 dollars.
The first 4 pills cost 1.50*4 = <<1.50*4=6>>6 dollars in total.
Henry spent a total of 35+6 = <<35+6=41>>41 dollars.
#### 41",41,"There were 9-4 = <<9-4=5>>5 other pills
Each of the other pills cost 1.50+5.50 = <<1.50+5.50=7>>7 dollars each.
The 5 pills cost a total of 7*5 = <<7*5=35>>35 dollars.
The first 4 pills cost 1.50*4 = <<1.50*4=6>>6 dollars in total.
Henry spent a total of 35+6 = <<35+6=41>>41 dollars.
"
2326,Emma got $2000 from the bank. She bought $400 of furniture and gave 3/4 of the rest to her friend Anna. How much is left with Emma?,"Emma had $2000 - $400 = $<<2000-400=1600>>1600 left after buying furniture
Emma gave Anna 3/4 * $1600 = $<<3/4*1600=1200>>1200
So, Emma is left with $1600 - $1200 = $<<1600-1200=400>>400
#### 400",400,"Emma had $2000 - $400 = $<<2000-400=1600>>1600 left after buying furniture
Emma gave Anna 3/4 * $1600 = $<<3/4*1600=1200>>1200
So, Emma is left with $1600 - $1200 = $<<1600-1200=400>>400
"
2327,"Tara's parents gave her $90 for her birthday. Not wanting to spend it, Tara put the money in a new bank account that gains 10% interest annually. If she doesn't withdraw the money at all, how much will she have after a year?","In one year, Tara's account will yield an interest of 10/100*90 = <<10/100*90=9>>9 dollars
The total in her account will therefore be 90 + 9 = <<90+9=99>>99 dollars.
#### 99",99,"In one year, Tara's account will yield an interest of 10/100*90 = <<10/100*90=9>>9 dollars
The total in her account will therefore be 90 + 9 = <<90+9=99>>99 dollars.
"
2328,"Jake sold 10 more stuffed animals than Thor. Quincy sold ten times as many stuffed animals as Thor. If Quincy sold 200 stuffed animals, how many more stuffed animals did Quincy sell than Jake?","Thor sold 200/10=<<200/10=20>>20 stuffed animals.
Jake sold 20+10=<<20+10=30>>30 stuffed animals.
Quincy sold 200-30= <<200-30=170>>170 more stuffed animals than Jake.
#### 170",170,"Thor sold 200/10=<<200/10=20>>20 stuffed animals.
Jake sold 20+10=<<20+10=30>>30 stuffed animals.
Quincy sold 200-30= <<200-30=170>>170 more stuffed animals than Jake.
"
2329,"Katerina purchases 3 pots and 4 pans at the home goods store. Each pot costs $20. The total cost of Katerina's items is $100. If each pan is the same price, what is the cost of 2 pans?","The cost of the pots is 3 * $20 = $<<3*20=60>>60
The cost of 4 pans is $100 - $60 = $40
Since each pan is the same price, the cost of 1 pan is $40 / 4 = $<<40/4=10>>10
The cost of 2 pans is $10 + $10 = $<<10+10=20>>20
#### 20",20,"The cost of the pots is 3 * $20 = $<<3*20=60>>60
The cost of 4 pans is $100 - $60 = $40
Since each pan is the same price, the cost of 1 pan is $40 / 4 = $<<40/4=10>>10
The cost of 2 pans is $10 + $10 = $<<10+10=20>>20
"
2330,Renne earns $4000 per month and wants to save half of her monthly earnings to buy the vehicle of her dreams worth $16000. How many months of saving will it take her to buy the vehicle?,"If she's saving half her salary every month, she saves 1/2*$4000 = $<<1/2*4000=2000>>2000 every month.
If the vehicle is worth $16000, and she saves $2000 every month to buy it, she will have to save for 16000/2000 = <<16000/2000=8>>8 months.
#### 8",8,"If she's saving half her salary every month, she saves 1/2*$4000 = $<<1/2*4000=2000>>2000 every month.
If the vehicle is worth $16000, and she saves $2000 every month to buy it, she will have to save for 16000/2000 = <<16000/2000=8>>8 months.
"
2331,"Alice was able to sell $2500 worth of gadgets. For this month, she expects to receive her monthly basic salary of $240 and a 2% commission from these sales. How much is she going to save this month if she usually saves 10% of her total earnings?","Alice will get $2500 x 2/100 = $<<2500*2/100=50>>50 from her commission.
This month, she will receive a total of $240 + $50 = $<<240+50=290>>290.
Therefore, Alice will save $290 x 10/100 = $<<290*10/100=29>>29 for this month.
#### 29",29,"Alice will get $2500 x 2/100 = $<<2500*2/100=50>>50 from her commission.
This month, she will receive a total of $240 + $50 = $<<240+50=290>>290.
Therefore, Alice will save $290 x 10/100 = $<<290*10/100=29>>29 for this month.
"
2332,"Emily spent X dollars on Friday, twice that amount on Saturday, and then three times X on Sunday. Over the three days, she spent $120. What is the value of X, in dollars?","She spent X dollars on Friday.
She spent 2X dollars on Saturday.
She spent 3X dollars on Sunday.
X+2X+3X=120
6X=120
X=<<20=20>>20
#### 20",20,"She spent X dollars on Friday.
She spent 2X dollars on Saturday.
She spent 3X dollars on Sunday.
X+2X+3X=120
6X=120
X=<<20=20>>20
"
2333,Alex has 2 cakes that are each cut into 8 slices. A fourth of the slices are given away to his friends. A third of the remaining slices are given away to his family. Alex eats 3 slices. How many slices of the cake are left?,"There are 2*8 = <<2*8=16>>16 slices of cake.
There are 16/4 = <<16/4=4>>4 slices
There are 16-4 = <<16-4=12>>12 slices left.
There are 12/3 = <<12/3=4>>4 slices given away
There are 12-4-3 = <<12-4-3=5>>5 slices of cake left.
#### 5",5,"There are 2*8 = <<2*8=16>>16 slices of cake.
There are 16/4 = <<16/4=4>>4 slices
There are 16-4 = <<16-4=12>>12 slices left.
There are 12/3 = <<12/3=4>>4 slices given away
There are 12-4-3 = <<12-4-3=5>>5 slices of cake left.
"
2334,"Grant spends $200.00 a year to have the newspaper delivered daily to his house.  Juanita buys the newspaper daily.  Monday through Saturday, she spends $0.50 and on Sunday she spends $2.00.  How much more money does Juanita spend buying the newspaper yearly than Grant?","Monday through Saturday Juanita buys the paper for $0.50 so that's 6*$0.50 = $<<6*0.5=3.00>>3.00
She spends $2.00 for Sunday and $3.00 for the other 6 days so she spends $2 + $3 = $<<2+3=5.00>>5.00 for the newspaper weekly
Over 52 weeks she spends 52*$5 = $<<52*5=260.00>>260.00
Juanita spends $260.00 on the newspaper for the year and Grants spends $200.00 a year so Juanita spends $260-$200 = $<<260-200=60.00>>60.00 more
#### 60",60,"Monday through Saturday Juanita buys the paper for $0.50 so that's 6*$0.50 = $<<6*0.5=3.00>>3.00
She spends $2.00 for Sunday and $3.00 for the other 6 days so she spends $2 + $3 = $<<2+3=5.00>>5.00 for the newspaper weekly
Over 52 weeks she spends 52*$5 = $<<52*5=260.00>>260.00
Juanita spends $260.00 on the newspaper for the year and Grants spends $200.00 a year so Juanita spends $260-$200 = $<<260-200=60.00>>60.00 more
"
2335,James has a small tree outside his window with 30 branches with 90 twigs per branch. 30% of the twigs sprout 4 leaves and the rest sprout 5 leaves. How many leaves are on the tree total?,"First find the total number of twigs on the tree: 30 branches * 90 twigs/branch = <<30*90=2700>>2700 twigs
Then multiply that number by 30% to find how many twigs have 4 leaves: 2700 twigs * 30% = <<2700*30*.01=810>>810 twigs
Then subtract that number from the total number of twigs to find how many have 5 leaves: 2700 twigs - 810 twigs = <<2700-810=1890>>1890 twigs
Then multiply that number by 5 to find the number of leaves on the 5-leaved twigs: 1890 twigs * 5 leaves/twig = <<1890*5=9450>>9450 leaves
Then multiply the number of 4-leaved twigs by 4 to find the total number of leaves they have: 810 twigs * 4 leaves/twig = <<810*4=3240>>3240 leaves
Then add the two groups of leaves to find the total number of leaves: 9450 leaves + 3240 leaves = <<9450+3240=12690>>12690 leaves
#### 12690",12690,"First find the total number of twigs on the tree: 30 branches * 90 twigs/branch = <<30*90=2700>>2700 twigs
Then multiply that number by 30% to find how many twigs have 4 leaves: 2700 twigs * 30% = <<2700*30*.01=810>>810 twigs
Then subtract that number from the total number of twigs to find how many have 5 leaves: 2700 twigs - 810 twigs = <<2700-810=1890>>1890 twigs
Then multiply that number by 5 to find the number of leaves on the 5-leaved twigs: 1890 twigs * 5 leaves/twig = <<1890*5=9450>>9450 leaves
Then multiply the number of 4-leaved twigs by 4 to find the total number of leaves they have: 810 twigs * 4 leaves/twig = <<810*4=3240>>3240 leaves
Then add the two groups of leaves to find the total number of leaves: 9450 leaves + 3240 leaves = <<9450+3240=12690>>12690 leaves
"
2336,"Eric has a chicken farm with 4 chickens. His chickens lay 3 eggs each day. If Eric collects all the eggs after 3 days, then how many eggs will Eric have collected?","Each chicken lays 3 eggs per day and there are 4 chickens 3 * 4 = <<3*4=12>>12
He will collect all the eggs after 3 days 12 * 3 = <<12*3=36>>36
#### 36",36,"Each chicken lays 3 eggs per day and there are 4 chickens 3 * 4 = <<3*4=12>>12
He will collect all the eggs after 3 days 12 * 3 = <<12*3=36>>36
"
2337,"Dakota gets hit by a bus and has to spend 3 days in the hospital. The hospital charges her $900/day for her bed, $250/hour for two specialists to look at her 15 minutes each, and $1800 for the ambulance ride. How much is Dakota's medical bill?","First find the total cost of the hospital bed by multiplying the cost per day by the number of days: $900/day * 3 days = $<<900*3=2700>>2700
Then figure out how many minutes total the two specialists looked at Dakota: 15 minutes/specialist * 2 specialists = 30 minutes
Then divide the number of minutes by the number of minutes per hour and multiply it by the specialists' hourly rate to find their total charge: 30 minutes / 60 minutes/hour * $250/hour = $<<30/60*250=125>>125
Finally, add up the cost of the specialists, ambulance and bed to find Dakota's total bill: $2700 + $1800 + $125 = $<<2700+1800+125=4625>>4625
#### 4625",4625,"First find the total cost of the hospital bed by multiplying the cost per day by the number of days: $900/day * 3 days = $<<900*3=2700>>2700
Then figure out how many minutes total the two specialists looked at Dakota: 15 minutes/specialist * 2 specialists = 30 minutes
Then divide the number of minutes by the number of minutes per hour and multiply it by the specialists' hourly rate to find their total charge: 30 minutes / 60 minutes/hour * $250/hour = $<<30/60*250=125>>125
Finally, add up the cost of the specialists, ambulance and bed to find Dakota's total bill: $2700 + $1800 + $125 = $<<2700+1800+125=4625>>4625
"
2338,Jenny had $24 left after spending 3/7 of her money. How much is half of her original amount of money?,"Jenny spent 1 - 3/7 = 4/7 of her money.
Since 4/7 is equal to $24, then 1/7 is equal to $24/4 = $6.
So, Jenny originally had $6 x 7 = $<<6*7=42>>42.
Therefore, half of her original amount of money is $42/2 = $<<42/2=21>>21.
#### 21",21,"Jenny spent 1 - 3/7 = 4/7 of her money.
Since 4/7 is equal to $24, then 1/7 is equal to $24/4 = $6.
So, Jenny originally had $6 x 7 = $<<6*7=42>>42.
Therefore, half of her original amount of money is $42/2 = $<<42/2=21>>21.
"
2339,"Brenda picks 250 peaches. When she sorts through them, only 60% are fresh, and Brenda has to throw 15 away for being too small. How many peaches does Brenda have left?","First find how many of the peaches are fresh, which is 250 peaches * 60% = <<250*60*.01=150>>150 peaches.
Then, subtract the number Brenda throws away after the fresh count, which is 150 peaches - 15 peaches = <<150-15=135>>135 peaches.
#### 135",135,"First find how many of the peaches are fresh, which is 250 peaches * 60% = <<250*60*.01=150>>150 peaches.
Then, subtract the number Brenda throws away after the fresh count, which is 150 peaches - 15 peaches = <<150-15=135>>135 peaches.
"
2340,"On a highway, the total number of vehicles passing is 300. If the number of cars on the highway is twice the number of trucks, find out the total number of trucks on the highway?","If we assume that the number of trucks on the highway is t, the number of cars on the highway will be 2*t = 2t
The total number of cars and trucks on the road is 2t+t= 300
The number of vehicles on the road is 3t=300
The are t=300/3 trucks on the highway.
This means there are t=<<100=100>>100 trucks on the road.
#### 100",100,"If we assume that the number of trucks on the highway is t, the number of cars on the highway will be 2*t = 2t
The total number of cars and trucks on the road is 2t+t= 300
The number of vehicles on the road is 3t=300
The are t=300/3 trucks on the highway.
This means there are t=<<100=100>>100 trucks on the road.
"
2341,"Krista started raising chickens. She has 10 hens who lay eggs. She sells the eggs for $3 a dozen. In four weeks, she sold $120 worth of eggs. If she sold all the eggs her hens laid, how many eggs does each hen lay a week?","At $3 a dozen, Krista sold $120 / $3 = <<120/3=40>>40 dozen eggs.
If 10 hens laid 40 dozen eggs in 4 weeks, that means 40 dozen eggs / 10 hens = <<40/10=4>>4 dozen eggs were laid by each hen in four weeks.
To find out how many eggs each hen laid in a week, 4 dozen eggs / 4 weeks = <<4/4=1>>1 dozen eggs each week.
Since a dozen has 12 eggs, each hen lays 12*1 = <<12*1=12>>12 eggs each week.
#### 12",12,"At $3 a dozen, Krista sold $120 / $3 = <<120/3=40>>40 dozen eggs.
If 10 hens laid 40 dozen eggs in 4 weeks, that means 40 dozen eggs / 10 hens = <<40/10=4>>4 dozen eggs were laid by each hen in four weeks.
To find out how many eggs each hen laid in a week, 4 dozen eggs / 4 weeks = <<4/4=1>>1 dozen eggs each week.
Since a dozen has 12 eggs, each hen lays 12*1 = <<12*1=12>>12 eggs each week.
"
2342,"Katy participated in a summer reading program at her local library. She read 8 books in June, twice as many in July and three fewer in August than she did in July. How many books did Katy read during the summer?","Katy read twice as many books in July as she did in June, so she read 2 * 8 = <<2*8=16>>16 books in July.
She read three fewer books in August than she did in July, so she read 16 - 3 = <<16-3=13>>13 books in August.
So, including June, she read 8 + 16 + 13 = <<8+16+13=37>>37 books total
#### 37",37,"Katy read twice as many books in July as she did in June, so she read 2 * 8 = <<2*8=16>>16 books in July.
She read three fewer books in August than she did in July, so she read 16 - 3 = <<16-3=13>>13 books in August.
So, including June, she read 8 + 16 + 13 = <<8+16+13=37>>37 books total
"
2343,"There are 110 calories in a serving of cheese.  Rick buys the large blocks that have 16 servings per block.  If Rick has already eaten 5 servings of cheese, how many calories are remaining in the block?","The block has 16 servings and he has eaten 5 servings leaving 16-5 = <<16-5=11>>11 servings of cheese
There are 11 servings of cheese left and each serving is 110 calories for a total of 11*110 = <<11*110=1210>>1,210 calories
#### 1210",1210,"The block has 16 servings and he has eaten 5 servings leaving 16-5 = <<16-5=11>>11 servings of cheese
There are 11 servings of cheese left and each serving is 110 calories for a total of 11*110 = <<11*110=1210>>1,210 calories
"
2344,The green piece of yarn is 156 cm long. The red yarn is 8 cm more than three times the length of the green yarn. What is the number of centimeters in the total length for the 2 pieces of yarn?,"Green = <<156=156>>156 cm
Red = 3*156 + 8 = <<3*156+8=476>>476 cm
156 + 476 = <<156+476=632>>632 cm of yarn
The two pieces of yarn have a length of 632 centimeters.
#### 632",632,"Green = <<156=156>>156 cm
Red = 3*156 + 8 = <<3*156+8=476>>476 cm
156 + 476 = <<156+476=632>>632 cm of yarn
The two pieces of yarn have a length of 632 centimeters.
"
2345,The ratio of boys to girls at the dance was 3:4. There were 60 girls at the dance. The teachers were 20% of the number of boys. How many people were at the dance?,"60 girls represent 4 parts, so one part of students is 60 / 4 = <<60/4=15>>15 students.
There are 15 * 3 = <<15*3=45>>45 boys at the dance.
The teachers at the dance are 45 * 0,2 = 9 teachers at the dance.
There are 60 + 45 + 9 = <<60+45+9=114>>114 people at the dance.
#### 114",114,"60 girls represent 4 parts, so one part of students is 60 / 4 = <<60/4=15>>15 students.
There are 15 * 3 = <<15*3=45>>45 boys at the dance.
The teachers at the dance are 45 * 0,2 = 9 teachers at the dance.
There are 60 + 45 + 9 = <<60+45+9=114>>114 people at the dance.
"
2346,"Carla's brush is 12 inches long. If Carmen's brush is 50% longer than Carla's brush, how long is Carmen's brush in centimeters? (There are 2.5 centimeters per inch.)","First find the length of Carmen's brush in inches: 150% * 12 inches = <<150*.01*12=18>>18 inches
Then convert the length from inches to centimeters: 18 inches * 2.5 centimeters/inch = <<18*2.5=45>>45 centimeters
#### 45",45,"First find the length of Carmen's brush in inches: 150% * 12 inches = <<150*.01*12=18>>18 inches
Then convert the length from inches to centimeters: 18 inches * 2.5 centimeters/inch = <<18*2.5=45>>45 centimeters
"
